,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
449,gRNA_6849,13425.0,3991.0,53217.0,1223.0,1331.0,3188.0,1284.0,173.0,2261.0,367.0,227.0,729.0,8458.0
469,gRNA_7393,3437.0,766.0,11797.0,387.0,233.0,783.0,282.0,132.0,545.0,77.0,109.0,151.0,3629.0
474,gRNA_7429,1486.0,517.0,4860.0,178.0,343.0,814.0,318.0,44.0,508.0,147.0,55.0,167.0,1911.0
483,gRNA_7481,1179.0,411.0,5307.0,127.0,140.0,350.0,108.0,14.0,223.0,16.0,63.0,160.0,1180.0
484,gRNA_7510,1362.0,403.0,6201.0,299.0,221.0,729.0,214.0,42.0,355.0,53.0,37.0,142.0,1947.0
485,gRNA_7511,2137.0,767.0,8668.0,355.0,502.0,1128.0,281.0,53.0,905.0,279.0,191.0,161.0,2361.0
486,gRNA_7512,3220.0,930.0,12507.0,733.0,670.0,1454.0,555.0,127.0,895.0,121.0,277.0,349.0,6036.0
487,gRNA_7513,3386.0,1197.0,13610.0,1046.0,472.0,1382.0,595.0,130.0,681.0,200.0,223.0,310.0,4094.0
488,gRNA_7514,2980.0,681.0,10874.0,637.0,491.0,1429.0,340.0,119.0,386.0,239.0,100.0,382.0,3766.0
489,gRNA_7558,3220.0,804.0,8801.0,424.0,547.0,1612.0,391.0,67.0,377.0,209.0,67.0,102.0,3351.0
512,gRNA_7812,1675.0,574.0,7168.0,201.0,117.0,444.0,177.0,28.0,254.0,26.0,64.0,68.0,1711.0
513,gRNA_7813,4878.0,1171.0,17420.0,264.0,217.0,878.0,177.0,33.0,358.0,76.0,44.0,68.0,3335.0
514,gRNA_7816,3302.0,918.0,11033.0,462.0,430.0,1535.0,380.0,70.0,1283.0,132.0,95.0,176.0,4188.0
515,gRNA_7839,3421.0,994.0,14025.0,615.0,307.0,1245.0,407.0,105.0,807.0,245.0,232.0,134.0,3573.0
516,gRNA_7843,977.0,214.0,2095.0,195.0,217.0,493.0,165.0,15.0,128.0,77.0,32.0,152.0,2000.0
520,gRNA_7902,2048.0,509.0,5728.0,275.0,326.0,958.0,477.0,44.0,724.0,84.0,35.0,215.0,2363.0
524,gRNA_7918,4261.0,1306.0,17475.0,473.0,609.0,1130.0,475.0,117.0,1295.0,72.0,163.0,357.0,5679.0
559,gRNA_8228,2927.0,1173.0,14935.0,561.0,564.0,1801.0,718.0,113.0,1449.0,201.0,150.0,294.0,5213.0
600,gRNA_8699,2863.0,1162.0,13549.0,618.0,448.0,965.0,332.0,95.0,889.0,122.0,192.0,179.0,4495.0
601,gRNA_8775,5000.0,1814.0,17201.0,811.0,512.0,3111.0,817.0,160.0,1045.0,156.0,175.0,339.0,5065.0
602,gRNA_8803,6767.0,2551.0,31136.0,507.0,343.0,1636.0,557.0,118.0,512.0,316.0,230.0,381.0,5323.0
