,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen3,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
512,gRNA_7812,461.0,311.0,69.0,252.0,186.0,272.0,1969.0,218.0,108.0,952.0,355.0,516.0,297.0,1711.0
513,gRNA_7813,1534.0,1430.0,290.0,622.0,380.0,514.0,6525.0,553.0,303.0,1141.0,776.0,647.0,494.0,3335.0
514,gRNA_7816,1296.0,1038.0,235.0,167.0,179.0,234.0,1896.0,259.0,148.0,1087.0,847.0,257.0,286.0,4188.0
515,gRNA_7839,2027.0,1342.0,349.0,511.0,539.0,572.0,6649.0,790.0,270.0,2499.0,1275.0,777.0,571.0,3573.0
516,gRNA_7843,1518.0,949.0,232.0,285.0,173.0,297.0,2464.0,256.0,134.0,1241.0,593.0,427.0,519.0,2000.0
520,gRNA_7902,1679.0,940.0,279.0,291.0,244.0,369.0,4685.0,493.0,133.0,505.0,359.0,846.0,684.0,2363.0
524,gRNA_7918,2296.0,1816.0,497.0,752.0,538.0,757.0,7594.0,722.0,624.0,2956.0,1441.0,1443.0,537.0,5679.0
559,gRNA_8228,1988.0,852.0,213.0,1808.0,1371.0,1938.0,23856.0,2001.0,759.0,4349.0,4312.0,1838.0,2391.0,5213.0
600,gRNA_8699,741.0,512.0,129.0,405.0,324.0,380.0,3069.0,457.0,353.0,893.0,693.0,383.0,511.0,4495.0
601,gRNA_8775,983.0,813.0,180.0,960.0,666.0,1123.0,7438.0,1188.0,630.0,1752.0,2114.0,1514.0,1477.0,5065.0
602,gRNA_8803,1937.0,993.0,280.0,1346.0,752.0,923.0,9281.0,2205.0,682.0,3472.0,3479.0,1827.0,2413.0,5323.0
603,gRNA_8867,621.0,609.0,85.0,425.0,298.0,430.0,3450.0,394.0,268.0,2088.0,641.0,457.0,842.0,3003.0
604,gRNA_8999,396.0,293.0,68.0,83.0,84.0,76.0,1728.0,130.0,62.0,162.0,274.0,338.0,142.0,1631.0
